Sentiment;TweetID;TweetText
positive;40121;"Dank @user geht es mir jetzt schon besser *_* &lt;3"
positive;45501;zu Hause (:
negative;13128;Okay der straßenbahnfahrer is besoffen Oo fährt rückwärts mit offen türen ... Hallo?
positive;5045;Frohe Weihnachten alle zusammen. Ich hoffe ihr lasst euch alle gut beschenken. Und habt ein schönes Fest.
positive;27736;Die @user und ich haben heute einen besonders tollen Platz zum lernen :) mit frechen Enten  ~http 
positive;32098;"Schlafen. || Morgen Arbeiten; dann Jule hier ^-^"
positive;43646;Caprica ist eine geile Serie! Schauen !
positive;32892;Premium-Strategie = exzellente Produkte + Dienst-Leistungen hoher Qualität und überdurchschnittlicher Preise: Emotionen = Kauf-Entscheidung!
negative;13092;Boa heute ist wieder nur assis im Zug Tag. Laut und es stinkt -____-
positive;9374;Gute nacht ! Schlaft gut ihr alle!
positive;49545;"Yeaaahh geil ; kanns kaum abwarten! Wann ist der realese ???RT @user am Freitag signing für den Re Release mit Sony von Blauer Samt"
positive;36815;"War gestern das erste mal in einem Fitness-Studio. Hab eigentlich einen verdammt großen muskelkater erwartet; aber heute merk ich nichts :-D"
negative;142728;"warum hat man das slidepad vom nintendo 3ds nicht blau; bzw. schwarz gelassen; sondern ist in der finalen version grau?"
negative;35734;Gelbe Markierungen auf der Domänenstraße in Konz. Da steckt sicher der LBM dahinter. Ich erahne schon die nächste Baustelle für die Konzer!
positive;5930;"Kulturrampe Metal Night mit Rising Glory; Vanguard und Sacred Gate. Noch eine Band bisher geiler Abend"
positive;43937;"Nur noch 2 Tage und dann ist wieder allseits bekannt; in Twistringen sind sie wieder alle Voll bis Oberkante Rand :D"
positive;9132;AJa guten morgen
negative;154046;"Meine Brille ist kaputt. Wie das passiert ist? Mir ist eine Wii auf den Kopf gefallen. Ja; eine Nintendo Wii."
negative;15341;Wenn einen der Schmerz von innen auffrisst...
negative;17066;Beides ist nicht schön. RT @user ich weiß nicht was ich machen soll... morgen wieder schule :(
negative;162726;überall werbung zu sehen auch youtube o.O ich sags euch kauft nie microsoft produkte sie ziehen nur leute ab!!!!!
