Sentiment;TweetID;TweetText
positive;1746368;OH MY BASED GOD. Those new Nike Mags light the fuck up. AM I 6 AGAIN!? #soexcited #theylookfuckedup #butimgettingthemanywaysfuckit
negative;2318672;This has not been a good weekend for me at all
negative;73522;I almost think Sunday nights should be awful by law. This way you're not so depressed going to bed for work. Another weekend-gone by. Sigh.
positive;1610474;I’ll never forget the fun time I had there& I want to thank you& all the wonderful people who made my dream come true ~http 
positive;1728973;I love kalli!!!
negative;441357;It's amazing how one person can fuck your entire mood up and think nothing of it !!! Way to make me door special !!!
positive;1507543;Nf @user!!! I can't believe u found me lol
positive;261303;"Early Christmas at the Nike store; thanks momma. #mommasboy"
negative;1884930;I'm sick of physical therapy...
positive;510084;V day Wooohhooo. Party time.
negative;1586067;Please #wakemeupwhen you stop calling yourself a barbie over there looking like Ken and Scooby Doo.. make sure u shave that mustache bitch
positive;1057678;My bebeee @user just spent $100 on me! New nike air maxes! Helllooooooo! :) I LOVE HIM!
positive;2063674;WOW! KRisten looks AMAZING
positive;672670;He enjoyed himself lol ~http 
positive;2096080;Guys please check out bing every day it has great pictures - ~http 
negative;949002;I bought Sony MDR-EX300SLB In-Ear Headphones last year. One ear has stopped working! V disappointed with the quality! Which should I buy?
positive;2152417;"Okayy so how about my new word makin' best friend is @user!! Flauge!! We will have to make some more ""professional"" words!! HAHA! #funny"
negative;2776311;Handle fell off my Samsung microwave...how in the world did that happen & how am I going to get in back on???
negative;2712264;Can be bothered with brekky to cold! And my back hurts :(
positive;1241008;todays plan: go play kinect at the microsoft store in park meadows... #lovemyjob
positive;720079;Had a good night lastnight!
negative;1327187;"The most disgusting person is hitting on me;and asked for my number..um..NO!"
negative;1353908;Not looking foward to school tomorrow
positive;1709454;"At the Luca Luca show at #MBFW! Raul the CD is ah-MAZING &amp; Gucci from @user created the most beautiful makeup! Can't wait 2 do a vid!"
negative;2420891;I've all of a sudden got a disliking for Mondays. They're shit.
positive;1682264;I love bein in love with someone who loves me just as much!!!
negative;31708;I wanna make more money. But i don't have the time -_-
negative;1607605;Stop staring at me.... Ugh
positive;2847285;"Chillin' out; maxin'; relaxin' all cool... xo"
negative;1500607;Finding it hard to get sleep right now... :/
negative;3397758;Nobody likes a primark girl with a gucci attitude..
positive;582583;Living life with no regrets 
positive;1658155;Pure jokes at #RehearsalLyfe with the cast of Church Girl @ Sony Centre! This play is great and the voices are greater! #Blessed
positive;2623116;Over a month strong no ciggs
negative;3513187;"I hope that silly little whore he's with chokes on her gucci bag the silly little strumpit !!! Looking forward to the day she's broke &gt;=D xx"
positive;918338;Pumped for the Gucci Bowl 
negative;1539711;Anyways that pisses me off. The thing is its a casj nike bag nothing cool at all. Ah!
positive;2752789;"Went for a walk this morning; then did 30 Day Shred! Sitting outside with the cats; cooling down. I love Fall!"
negative;1618650;Apllo 18 SUCKS!! #worstmovieEVER
positive;1736217;No regrets!:-)
negative;101921;Kinda feel a little ripped off on this one.  ~http 
negative;783309;Seriously need my own place! these neighbors r so inconsiderate of other people mind you these walls are thin! #2 Goal my own apt. asap -_-
negative;1354950;Why the hell did my mom give this bitch a key
negative;1244523;Already over school...cannot get myself out of bed for anything. #longdayahead
positive;1047129;I love Football. #GOJACKETS #GoodGame!
positive;67030;#Spain wins 1-0!!  I knew you could do it!
positive;1185979;"on the internet...ON THE NINTENDO WII!!! awesome...i know!  --&gt; Jennette ;D"
