Sentiment;TweetID;TweetText
negative;30839;"Rentrée à 13h30 et fin à même pas 15h; les gars fallait nous faire rentrer demain en fait ... trucs inutiles ftw."
negative;51379;"Les gens qui écrivent ""et"" à la place de ""est"" ne méritent pas de tweeter. Ni même d'exister; ouais."
negative;27316;"Je viens de voir ""Tempest : without a body"" au Maillon et je n'ai rien compris. C'était très ennuyeux !"
positive;27224;"Rassurez-vous; j'ai fini xD"
positive;18794;"508 com's; 108 ami(e)'s; 600 visite wahoo !! Merci =) et se qui ne connaise pas; venait vite =)"
negative;14585;Tellement triste de ne pas être marraine @user
positive;18289;"Ahhh coool @user  je te le send tout de suite! voisin dall amo moromeee ;);@Mansour_K_Faye"
positive;3877;Heeennn j'aime trop lire les VDM comme sa je vois qui a une vie plus pourrie que la mienne :) ImèneFacts#
positive;41670;"j'conseil l'animé ""Deadman Wonderland"" qui est une très belle surprise pour moi description du mangas là ~http  vraiment génial"
positive;15441;Heureusement ADIDAS est là pou penser aux femmes ! RT: @user Adidas lance une page Facebook dédiée aux femmes ~http 
negative;34511;FX ... #RienÀFoutre
positive;130792;"Le Samsung N150 est très solide; je vous le conseille ! #crashtest"
positive;90482;"{MODE} Décontracté-habillé; ça adidas SLVR sait le faire. Quand l'élégance et la mode streetwear ne font qu'un ~http "
negative;25650;"Jnsp ce qui est le plus frustrant ; se demander ce qu'on fiche sur le fil de certains; ou ce que certains fichent sur notre propre fil."
negative;44732;A ce moment même un grain de riz est resté coincé dans ma gorge #VDM
positive;9835;Youpi... Le Portugal à fait match Nul... Les TL ne sont pas bloqués à Lausanne !!!
negative;41650;motivation sous le niveau de la mer aujourd'hui ... :-|
negative;29957;PUTAIN J'AVAIS UNE CLASSE PARFAITE SAUF QU'ON ME CHANGE DE CLASSE. QUEL BAD.
negative;4542;"Tu bosses pas assez et tu voyages trop. T es pas un BON etranger; t es pas renouvele et toc ~http "
positive;13942;"Un resto alsacien au Luxembourg ? je vous conseille ""La Petite Alsace"" à Esch/Alzette. Très bon et personnel super sympa !"
negative;41827;Il n'aura jamais la chance de vous prouver qu'il n'était pas si bon...Dommage  #DéputésFantômes #Npd
negative;16655;"Les ""Hello September"" et  ""Goodbye August"" sur twitter sont juste déprimants #débutdelafin"
positive;23698;"Je vous fait la bise a tous ;)"
positive;42686;"Poutrer du raptor en écoutant alphaville; la vie est belle nan ? #NowPlaying"
negative;103081;"Putain quel con; j'ai oublié la 1ère règle de base qui consiste à ne JAMAIS mettre à jour un produit Microsoft qui fonctionne"
positive;21047;de belles icônes  ~http 
positive;63255;je viens d'essayer un Audi Q5 ... J'en veux un!
positive;42661;"Y'a pas à dire; y'a du gros DJ résident sur FG; j'donnerais très cher pour mixer là bas..."
negative;49464;ll répond même pas au textos . Ou il fait la gueule ou il dort :/
negative;2961;"Le problème avec les ""influents"" sur twitter c'est qu'ils se font tous des fellations entre eux."
positive;33113;Ça y est c'est en ligne!!!!!!'
negative;11462;"Oais; clair ; moi non plus je comprends pas !"
negative;28436;"Concrètement ; là j'sais pertinemment que j'vais pas assumer cette journée .."
positive;13368;"Demain;départ pour la Turquie...enfin!!"
positive;13381;Plus que 5h30 de boulot demain et à moi la joie des vacances!!
positive;14438;Mais c'est que @user est zoli garçon hein!! Tu as li yeux comme li soleil sur le fleuve Niger walaye!!
negative;49746;"j'en ai marre que mon Itouch m'indique souvent ""Messenger : Vous êtes déconnecté"" HAAAAA"
positive;21584;Super le film 27 robes :)
negative;24844;Tu me dégoutes chéri .... #WTF
negative;30466;Mais vas faire ta guerre civile et fais pas chier le monde putain de sous-homme
negative;41327;encore +4500 chaummeurs ~http
negative;50675;Ca commence : le train n'est pas là qu'il déjà en retard :'(
positive;6587;Super sa. Bonne soiré. Bisous ! :)
