Sentiment;TweetID;TweetText
positive;399249;"É O JACKI CHAN !!! RT @user ESSE É DOS MEUS!!! HAHAHAHAHAHAH ~http  @user; assiste; recomendo!"
negative;387155;Eras o samsung galaxy tab e muito lerdo para twitar
negative;205458;"Dizem que a coisa mais triste que o homem enfrentará;é o que poderia ter sido..."
negative;2054404;"RAIVA vou ter que ir com meu nike dinovo pra escola ; minha mãe lavou meu all star"
positive;1726312;QUE LEGAL!  Brasil ganha prêmio nas olimpíadas de tecnologia da Microsoft em ~http 
negative;590731;Duvida cruel! Shift+Del no Infinite Stratos ou devo gastar um DVD-R com esta porcaria?
positive;1182964;Esse final tem outra etapa do circuito adidas ... vamos que vamos ...
positive;325476;"Paulinhoo'Loopes o famoso Brankelo da Nike #TeAmo mto meo brankelo ;$ irmãozinho do conceito + gatoo &lt;3"
positive;431063;Parabéns!! RT: @user Alphaville SJC é nosso! Vamos fazer a campanha de incentivo. A campanha de mercado ficou com a Eugênio.
negative;891097;"É gente; agora a Sony vai acabar de ser estuprada mesmo."
negative;678739;"QUE ISSO GALERAAAA; TIMINHO DE MERDA QUE NUM ACEITA PERDER; QUE ISSO o0 cade a policia pra apartar isso velho. #tomanocú"
positive;48427;"#feriadoébompara ANDAR NA PRAIA; JÁ FUIIIIIIIIIIII"
negative;590470;"Ele é casado e eu sou a outra; Na vida dele; Que vive qual uma brasa; Por lhe faltar Tudo em casa.#mariabethânia#"
negative;615157;eu ja estourava minhas contas normalmente! Eu nao quero pensar em como vai vir! medo!
positive;1112309;Eu quero ganhar o mouse sem fio da Microsoft que o @user está sorteando - ~http  #PromoSD
positive;270471;Acabei de lembrar da festa linda do @user a base de valesca.  Final dos tempos . kkkk
positive;1773341;AGORA EU ACHO QUE O RONALDINHO VAI JOGAR A BOLA É DA NIKE !!!
negative;1231080;"O bing é um ""buscador""?? A única coisa que ele acha é o Google!!!"
positive;570207;Amar não  e pecado!!# LUAN SANTANA SUCESSO
positive;223652;"Haha; o engraçado é que por enquanto quem tem mais cupons; dos que cliquei; sou eu!!!"
positive;404410;Quem nunca jogou Mario no Super Nintendo não sabe o que é se divertir pisando nos outros!
negative;322887;"QUERO VÊ QUAL VAI SER A PROXIMA MENTIRA QUE VAI ROLA AKI ; PRA TENTAREM GANHAR MAIS FOLLOWERS =/"
negative;449063;"ultima semana de ferias; FUDEU"
negative;2466454;Eufenismo Paris Hilton .. para que te quero ?
positive;2169460;eu ganhei um celular novo w20 sony ericson
positive;874519;DICA DO DIA: #RENDAS!! Blusa verde com detalhe em renda preta!!! #maravilhosa!!!! ~http 
negative;178072;q vontade de sumir...to completamente sem rumo...sem direção...sem saber o q fazer... =[
negative;1493277;Vou comprar um Nike colorido em maio o meu Freeday ta ficando zuado :S
negative;18560;"Meeeeeeeeeeu Deus ; como ta friiiiiiiiiio :s"
negative;625307;está a cada dia mais dificil segurar isso em minhas mãos' #pesado
negative;262661;tem gente que nao muda ! mai tu é mto fidiputa msm viu ..
negative;1248335;Será uma estratégia da microsoft para promover seu buscador novo... subordinou um cara da google q fez dar pau em td! #conspirações
negative;1539833;"cada um que me aparece; o muleke colocou no FACEBOOK; NIKE SHOX PAH' (H).           --'"
positive;879897;Vander show o menino tem futuro pra cima deles MENGAO
positive;689529;jah baixei jogo de super nintendo rsrs #classico rsrss agora vou tomar banho  e ver a @user meu amoor linda te amoo
negative;2109070;hackearam cartões na psn? se fosse eu os usava pra comprar vários wii e xbox360 e mandava entregar pro ceo da sony nos eua
positive;279141;Photo: › “Não deixe que os seus medos tomem o lugar dos seus sonhos.” › › Walt Disney ~http 
negative;251718;"sempre fui comportada; mais agora estou pensando que se dane (8)"
positive;192896;Cara... E se eu disser que eu to com o meu Super Nintendo aqui do meu lado? SPARKSTER TIME.
negative;694468;Eu considero um pecado da Sony estar lançando esse álbum Póstumo do MJ. Qual o próximo passo? Abrir o seu túmulo para ele gravar um clipe?
negative;174537;"aiiiii; que demora pro meu amor chegar!!"
positive;1363624;Preparando para segunda feira... Evento Microsoft - Serviço mais Software especial AZURE!!! Microsoft São Paulo.
negative;687491;frozinho chato :~
negative;660520;"Ou eu assisto essas danadas; ou assisto as aula de matemática aplicada também conhecida como incentivo ao suicídio. Ou seja."
positive;1115168;"Aí; bem que o Fernandão poderia vir pro Inter pra se aposentar e fazer a despedida contra o Barcelona na Audi Cup. Seria uma boa."
negative;507428;"foi só eu ou o juiz hj deu uma forcinha de novo??? Fágner era claramente para ter sido expulso; além de um penal não marcado no Dinei!"
negative;5843;Aff na escola agora com #alana# esta um saco
positive;716470;"Tempo de hoje...00:51:08...melhor tempo que já fiz nos 10km da Adidas dedicado a Xuxinha;"
negative;686400;"Meu msn tah uma merd@; nem vou me estressar!!!"
positive;23858;"FLAMENGO X FIGUEIRENSE ; Hojeee !"
positive;155974;Assistindo justin BiBa 2 eu nao me canso de ver os videos do @user
positive;2105036;too mega feliz ganhei meu nike 6.0 hj :)
positive;161214;"Hoje passei o intervalo inteirinho com a @user ! &gt;.&lt;"
positive;73388;"Oi galera; hoje nossa turma se superou e mostrou seu talento né; q isso; estamos de parabéns amigos! hahaha :D"
positive;261185;SamueL falando que eu faço mt falta! cute *-* &+ disse que essa música ele ouve e lembra de mim.. ~http 
positive;409286;"#tafalado! @user É que esse encontro no #Melhoresdoano ; é MUITO LEGAL! O tio gosta de ver artista. #prontofalei"
negative;2373711;"Meu; batata que a paris hilton é de plástico; ela veio de alguma fábrica da mattel! ~http"
positive;858190;Finalmente lembreei di carrega a bateria do meu nintendo ds ixl hsuahsua mó cota ki num jogo
positive;396209;"sonhos se realizam: Será que a Nike finalmente vai lançar o tênis q se amarra sozinho; aquele do McFly?  ~http  via @user"
negative;550573;bando de inutil nao sabem em q esse guri ninca vai da bola pra vcs unica coisa em q eu digo é q vo ri muito quando vcs chorarem por ele
negative;2534552;Paris Hilton = Chiclete de bola + cartão de crédito
negative;1229541;"mais uma vez levei o MP3 w202 da Sony para a assistência técnica na data de ontem; dia 23/08. Vamos ver quanto tempo levará até a devolução."
positive;147680;Bomm q somos so nos duas as chances sao maiores do q se fosse com 10 meninas @user
positive;1182963;Fiquei satisfeito com o resultado da última etapa do circuito Adidas 2010... 55 Minutos e 40 Segundos ...
negative;1091133;KKKKKKKKK O PESSOAL DA SONY COLOCO VMB KKKKKKK BANDO DE BURROS
negative;300754;ah que saudade do meu neném :(
positive;810679;“Eu quero almoçar na companhia de @user”255
negative;400268;"foda-se vc microsoft foda-se vc biiilll gates; morre diabo."
positive;502670;Vontade de jogar Super Nintendo =p
positive;7430;“Eu quero conquistar a minha independência digital com o Samsung Star que o @user está sorteando ~http 
positive;136387;BONCHI BONCHI BOM BOM BOM... kkkk #momentoretardada
negative;1061585;"tava la no @user fumando narguile e bem na hora que a gente ia começar a jogar nintendo e mãe pediu pra eu ir pra casa; que merda :/"
negative;765723;"Leo Moura é o meu saco; esse merda nao fez 1 jogada certa."
negative;587799;A Lady Gaga #queimouseufilme ao ir vestida de bife no MTV Awards sendo que existe um monte de gente que ainda passa fome no mundo.
positive;551384;Salvei uma pessoa de ter câncer de pulmão.. faça vc também a sua parte! =D
positive;848044;"Guerreiroo ; Guerreiroo ; Guerreiroo ; TIME DE GUERREIRO !"
positive;521844;obrigado @user
positive;1757371;"vo jogar meu super nintendo HAHA ; é velho mais é o melhor"
positive;80262;"Oiee gentee ;acabei de chegaa da fazendaa; muitoo bom =DD carnaval perfeitoo @"
negative;1427599;aaa q dia mais chato hoje :\  acho que vou jogar um pouco de nintendo wii depois eu volto
positive;664816;Photo: › Quando se trata de amor nunca é tarde demais. Cartas para Julieta ~http 
positive;476118;"Indo dormir ; Boa noite  a todos :D"
positive;270094;"baixando umas musics aqui no trampo ;)"
positive;226398;"Lou dormiu aqui de ontem pra hj; dafne ta vindo daqui a pouco pra gnt assistir um filme; yay -Lu"
negative;1060015;Em uma escala de 0-10 a música da propaganda de 15 anos da Sony é ruim 245733.
positive;2415326;"Jogando donkey kong!! Nossa; tirei meu super nintendo do bau!!"
negative;834794;Mais que sacanagem é essa?
positive;414346;Ter você é meu desejo de viver ! ♪
negative;803837;"Amanheceu um friozim hoje ein.. gosto disso não; da uma preguiça de tomar banho"
positive;207755;Bom Dia a todosssssssssssssss! =)
positive;470244;Manda Abraço pra mim! Aprendi quase todas minhas musicas com voces! (@cifraclub live on ~http )
negative;273422;Mais de 100 vezez que o Luan entra e não me responde :\ #Bua
negative;178239;Você é sempre chato assim ou só quando esta acordado????
negative;1711390;Nessa tal de Copa Audi ou só vale empate ou Milan e Inter são muito fracos .
negative;209062;Bom dia. Acabei de acordar com muita dor no ombro :/
positive;839278;"fui no dentista hj e dps passei na casa do @user :D ;; tava jogando nintendo wii :B"
negative;165818;"UM #FODA-SE PARA ESSE AVATERES QUE QUE DIZEM ME SEGUE QUE EU TE SIGO E SO #KAÔ;PELA ULTIMA VEZ SO SIGO QUEM EM SEGUIR ;;)"
negative;581200;"nao entendo como um ipod eh melhor q um sony vaio; nao entendo mesmo..."
positive;591496;"#LOUVOSÃO sexta è nòs;quero ver tods là 93 è o melhor......"
positive;2034325;Soou TÃO Viciiado  Em Super Nintendo Que tenho 3 Emuladores No Pc!^^ HuHuahauh #SuperNintendoManiacs
negative;111089;Quando a vida te obriga a enfrentar gente malvada devemos pensar que ela é uma lixa ela pode te arranhar
positive;311888;"booom dia; bom domingo para todos (:"
negative;538571;AINDA NÃO ACABOU.
positive;866886;Comecei o dia ótimo hje *-------*
